Gender,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
Male,22,No,Healthcare,1.0,Low,4.0,D
Female,67,Yes,Engineer,1.0,Low,1.0,B
Male,67,Yes,Lawyer,0.0,High,2.0,B
Male,56,No,Artist,0.0,Average,2.0,C
Male,32,Yes,Healthcare,1.0,Low,3.0,C
Female,33,Yes,Healthcare,1.0,Low,3.0,D
Female,61,Yes,Engineer,0.0,Low,3.0,D
Female,55,Yes,Artist,1.0,Average,4.0,C
Female,26,Yes,Engineer,1.0,Low,3.0,A
Male,19,No,Healthcare,4.0,Low,4.0,D
Female,58,No,Doctor,0.0,Low,1.0,B
Female,41,No,Healthcare,1.0,Low,2.0,C
Female,32,No,Homemaker,9.0,Low,5.0,D
Male,31,No,Healthcare,1.0,Low,6.0,B
Male,58,Yes,Entertainment,1.0,Average,4.0,B
Female,79,Yes,Artist,0.0,High,1.0,C
Male,49,Yes,Homemaker,12.0,Low,1.0,A
Female,18,No,Healthcare,3.0,Low,4.0,D
Male,33,Yes,Artist,13.0,Low,2.0,A
Female,36,Yes,Artist,5.0,Low,2.0,B
Male,56,No,Artist,1.0,Average,3.0,C
Male,31,No,Healthcare,9.0,Low,8.0,A
Male,49,Yes,Artist,1.0,Average,3.0,C
Male,35,Yes,Artist,0.0,Low,1.0,B
Female,35,No,Artist,5.0,Low,4.0,C
Female,45,Yes,Artist,0.0,Low,3.0,C
Female,42,No,Doctor,1.0,Low,2.0,A
Male,19,No,Healthcare,1.0,Low,3.0,D
Female,83,No,Lawyer,1.0,High,2.0,D
Female,27,Yes,Healthcare,3.0,Low,4.0,D
Male,32,No,Doctor,5.0,Low,1.0,D
Female,28,No,Healthcare,1.0,Average,5.0,D
Female,28,Yes,Artist,8.0,Low,2.0,A
Female,47,Yes,Artist,4.0,Low,1.0,B
Female,22,No,Healthcare,0.0,Low,2.0,D
Female,27,Yes,Artist,14.0,Low,3.0,A
Female,49,Yes,Artist,1.0,Low,2.0,C
Male,40,No,Engineer,8.0,Low,1.0,A
Male,41,Yes,Artist,0.0,Average,4.0,B
Male,19,No,Healthcare,0.0,Low,4.0,D
Female,45,Yes,Engineer,1.0,Low,1.0,A
Female,61,No,Artist,1.0,Average,2.0,B
Female,36,Yes,Artist,1.0,Average,2.0,C
Male,40,Yes,Artist,1.0,Low,1.0,A
Female,57,Yes,Entertainment,0.0,Average,2.0,C
Male,76,No,Marketing,1.0,Low,1.0,A
Male,32,Yes,Artist,14.0,Average,2.0,B
Male,25,Yes,Healthcare,9.0,Low,4.0,D
Female,45,Yes,Artist,1.0,Average,3.0,C
Male,48,Yes,Artist,0.0,Average,2.0,C
Male,55,Yes,Artist,9.0,Average,2.0,C
Male,74,Yes,Lawyer,0.0,High,3.0,D
Male,56,Yes,Lawyer,1.0,High,2.0,A
Male,59,Yes,Lawyer,7.0,High,2.0,A
Male,25,Yes,Entertainment,0.0,Low,2.0,A
Male,31,Yes,Doctor,0.0,Average,2.0,A
Male,27,No,Artist,8.0,Low,4.0,A
